,player_win,player_loss,push,win_push,total_hands,win_pct,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_ten,dealer_bust,dealer_draw,dealer_21_draw,dealer_ten_pct,dealer_bust_pct,dealer_draw_pct,dealer_21_draw_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,21,32,4,25,57,0.368,0.439,1,8,0.111,1,1,20,10,14,2,0.351,0.175,0.246,0.035,17.694,93,1
0,16,28,2,18,46,0.348,0.391,1,4,0.2,3,5,12,6,15,2,0.261,0.13,0.326,0.043,17.689,94,1
0,20,19,8,28,47,0.426,0.596,3,3,0.5,1,4,16,12,11,0,0.34,0.255,0.234,0,17.691,95,1
0,21,17,5,26,43,0.488,0.605,5,2,0.714,3,2,15,10,15,1,0.349,0.233,0.349,0.023,17.689,96,1
0,21,20,4,25,45,0.467,0.556,3,1,0.75,3,2,15,8,16,3,0.333,0.178,0.356,0.067,17.258,1,1
0,23,20,5,28,48,0.479,0.583,4,3,0.571,6,1,11,10,15,2,0.229,0.208,0.312,0.042,17.175,2,1
0,17,28,4,21,49,0.347,0.429,3,2,0.6,2,3,14,6,17,5,0.286,0.122,0.347,0.102,17.372,3,1
0,17,25,6,23,48,0.354,0.479,2,2,0.5,3,4,15,8,16,0,0.312,0.167,0.333,0,17.508,4,1
0,23,20,2,25,45,0.511,0.556,4,1,0.8,4,1,20,11,11,1,0.444,0.244,0.244,0.022,17.648,5,1
0,15,27,4,19,46,0.326,0.413,7,3,0.7,1,2,7,9,15,2,0.152,0.196,0.326,0.043,17.684,6,1
0,20,22,3,23,45,0.444,0.511,6,3,0.667,1,0,13,9,15,3,0.289,0.2,0.333,0.067,17.748,7,1
0,19,20,6,25,45,0.422,0.556,4,0,1,2,1,13,8,17,4,0.289,0.178,0.378,0.089,17.748,8,1
0,18,23,4,22,45,0.4,0.489,4,3,0.571,2,1,18,11,12,3,0.4,0.244,0.267,0.067,17.722,9,1
0,18,24,3,21,45,0.4,0.467,3,0,1,2,1,17,9,13,1,0.378,0.2,0.289,0.022,17.648,10,1
0,17,25,6,23,48,0.354,0.479,2,2,0.5,5,5,11,6,19,1,0.229,0.125,0.396,0.021,17.657,11,1
0,16,26,3,19,45,0.356,0.422,4,5,0.444,2,0,15,5,20,4,0.333,0.111,0.444,0.089,17.691,12,1
0,15,26,3,18,44,0.341,0.409,5,3,0.625,3,3,11,7,17,3,0.25,0.159,0.386,0.068,17.722,13,1
0,26,14,5,31,45,0.578,0.689,4,2,0.667,2,1,18,14,11,0,0.4,0.311,0.244,0,17.767,14,1
0,29,17,4,33,50,0.58,0.66,5,4,0.556,1,0,10,14,11,2,0.2,0.28,0.22,0.04,17.694,15,1
0,14,26,4,18,44,0.318,0.409,1,3,0.25,1,2,9,7,15,5,0.205,0.159,0.341,0.114,17.692,16,1
0,15,24,4,19,43,0.349,0.442,5,2,0.714,0,2,12,9,18,3,0.279,0.209,0.419,0.07,17.722,17,1
0,13,27,5,18,45,0.289,0.4,2,2,0.5,1,3,15,8,12,3,0.333,0.178,0.267,0.067,17.763,18,1
0,18,21,6,24,45,0.4,0.533,6,2,0.75,0,3,14,14,11,2,0.311,0.311,0.244,0.044,17.771,19,1
0,19,17,10,29,46,0.413,0.63,0,2,0,3,0,16,9,13,0,0.348,0.196,0.283,0,17.746,20,1
0,15,25,5,20,45,0.333,0.444,1,1,0.5,0,3,15,7,17,6,0.333,0.156,0.378,0.133,17.771,21,1
0,18,23,2,20,43,0.419,0.465,7,0,1,2,0,10,9,12,1,0.233,0.209,0.279,0.023,17.767,22,1
0,18,22,3,21,43,0.419,0.488,4,3,0.571,1,1,15,11,10,0,0.349,0.256,0.233,0,17.777,23,1
0,14,28,5,19,47,0.298,0.404,3,2,0.6,3,1,14,6,18,6,0.298,0.128,0.383,0.128,17.781,24,1
0,16,25,3,19,44,0.364,0.432,2,3,0.4,2,2,17,5,16,3,0.386,0.114,0.364,0.068,17.783,25,1
0,20,19,5,25,44,0.455,0.568,4,6,0.4,1,5,12,16,10,3,0.273,0.364,0.227,0.068,17.812,26,1
0,30,15,3,33,48,0.625,0.688,4,1,0.8,6,1,15,13,12,3,0.312,0.271,0.25,0.062,17.78,27,1
0,22,23,1,23,46,0.478,0.5,3,2,0.6,2,5,16,12,7,0,0.348,0.261,0.152,0,17.767,28,1
0,22,19,5,27,46,0.478,0.587,2,3,0.4,6,2,16,10,12,3,0.348,0.217,0.261,0.065,17.75,29,1
0,20,20,5,25,45,0.444,0.556,3,3,0.5,5,0,14,9,15,1,0.311,0.2,0.333,0.022,17.737,30,1
0,19,24,3,22,46,0.413,0.478,4,5,0.444,1,3,15,9,12,1,0.326,0.196,0.261,0.022,17.766,31,1
0,25,17,2,27,44,0.568,0.614,5,3,0.625,2,0,8,14,11,1,0.182,0.318,0.25,0.023,17.746,32,1
0,16,27,3,19,46,0.348,0.413,0,5,0,1,2,12,10,12,3,0.261,0.217,0.261,0.065,17.753,33,1
0,19,20,6,25,45,0.422,0.556,3,3,0.5,0,2,15,8,16,1,0.333,0.178,0.356,0.022,17.762,34,1
0,24,20,3,27,47,0.511,0.574,2,2,0.5,3,4,9,13,17,1,0.191,0.277,0.362,0.021,17.767,35,1
0,23,15,5,28,43,0.535,0.651,5,0,1,2,1,7,13,12,4,0.163,0.302,0.279,0.093,17.753,36,1
0,17,23,5,22,45,0.378,0.489,4,2,0.667,1,2,17,11,12,3,0.378,0.244,0.267,0.067,17.752,37,1
0,19,23,3,22,45,0.422,0.489,3,2,0.6,2,1,12,9,13,3,0.267,0.2,0.289,0.067,17.738,38,1
0,19,23,4,23,46,0.413,0.5,2,3,0.4,3,0,12,7,17,4,0.261,0.152,0.37,0.087,17.745,39,1
0,19,26,2,21,47,0.404,0.447,3,3,0.5,2,3,16,13,11,3,0.34,0.277,0.234,0.064,17.731,40,1
0,18,25,3,21,46,0.391,0.457,3,1,0.75,2,2,9,8,16,3,0.196,0.174,0.348,0.065,17.714,41,1
0,15,24,5,20,44,0.341,0.455,4,1,0.8,0,2,12,8,11,0,0.273,0.182,0.25,0,17.711,42,1
0,20,21,2,22,43,0.465,0.512,4,0,1,1,0,14,14,4,1,0.326,0.326,0.093,0.023,17.682,43,1
0,17,26,3,20,46,0.37,0.435,3,1,0.75,4,2,15,9,12,1,0.326,0.196,0.261,0.022,17.666,44,1
0,22,21,4,26,47,0.468,0.553,3,0,1,3,3,9,11,14,1,0.191,0.234,0.298,0.021,17.678,45,1
0,19,22,4,23,45,0.422,0.511,4,1,0.8,3,2,16,8,15,4,0.356,0.178,0.333,0.089,17.676,46,1
0,22,20,4,26,46,0.478,0.565,7,1,0.875,1,2,11,10,18,3,0.239,0.217,0.391,0.065,17.68,47,1
0,21,20,4,25,45,0.467,0.556,4,3,0.571,5,1,16,10,13,4,0.356,0.222,0.289,0.089,17.663,48,1
0,19,25,2,21,46,0.413,0.457,3,3,0.5,1,4,16,8,15,4,0.348,0.174,0.326,0.087,17.661,49,1
0,22,17,5,27,44,0.5,0.614,6,0,1,0,1,15,11,13,3,0.341,0.25,0.295,0.068,17.659,50,1
0,18,22,5,23,45,0.4,0.511,2,2,0.5,2,4,9,7,16,4,0.2,0.156,0.356,0.089,17.649,51,1
0,14,26,5,19,45,0.311,0.422,1,6,0.143,3,2,9,9,13,4,0.2,0.2,0.289,0.089,17.636,52,1
0,21,22,3,24,46,0.457,0.522,4,3,0.571,3,2,13,10,15,3,0.283,0.217,0.326,0.065,17.627,53,1
0,26,19,1,27,46,0.565,0.587,4,1,0.8,5,3,13,12,8,2,0.283,0.261,0.174,0.043,17.614,54,1
0,17,24,3,20,44,0.386,0.455,4,2,0.667,3,1,13,10,13,6,0.295,0.227,0.295,0.136,17.615,55,1
0,20,22,2,22,44,0.455,0.5,2,1,0.667,2,2,16,13,9,3,0.364,0.295,0.205,0.068,17.618,56,1
0,22,14,8,30,44,0.5,0.682,4,2,0.667,1,1,13,15,12,2,0.295,0.341,0.273,0.045,17.63,57,1
0,17,24,5,22,46,0.37,0.478,3,3,0.5,0,3,10,9,13,3,0.217,0.196,0.283,0.065,17.641,58,1
0,20,21,2,22,43,0.465,0.512,4,4,0.5,2,1,18,9,15,3,0.419,0.209,0.349,0.07,17.644,59,1
0,19,24,5,24,48,0.396,0.5,0,4,0,2,2,11,12,15,0,0.229,0.25,0.312,0,17.636,60,1
0,24,17,3,27,44,0.545,0.614,2,0,1,1,0,11,13,12,2,0.25,0.295,0.273,0.045,17.634,61,1
0,19,24,4,23,47,0.404,0.489,1,1,0.5,2,3,15,10,12,2,0.319,0.213,0.255,0.043,17.637,62,1
0,16,22,8,24,46,0.348,0.522,1,4,0.2,6,1,16,6,15,2,0.348,0.13,0.326,0.043,17.627,63,1
0,14,25,3,17,42,0.333,0.405,2,7,0.222,0,0,18,11,18,2,0.429,0.262,0.429,0.048,17.636,64,1
0,21,23,2,23,46,0.457,0.5,7,2,0.778,2,4,11,7,17,1,0.239,0.152,0.37,0.022,17.636,65,1
0,21,19,5,26,45,0.467,0.578,6,1,0.857,1,1,12,9,16,3,0.267,0.2,0.356,0.067,17.644,66,1
0,19,22,5,24,46,0.413,0.522,0,1,0,2,4,10,10,16,3,0.217,0.217,0.348,0.065,17.645,67,1
0,10,31,5,15,46,0.217,0.326,3,2,0.6,1,5,18,8,11,4,0.391,0.174,0.239,0.087,17.643,68,1
0,19,23,6,25,48,0.396,0.521,2,1,0.667,2,4,15,12,14,1,0.312,0.25,0.292,0.021,17.645,69,1
0,21,21,2,23,44,0.477,0.523,4,2,0.667,0,2,15,10,13,2,0.341,0.227,0.295,0.045,17.652,70,1
0,19,27,2,21,48,0.396,0.438,4,2,0.667,3,0,12,9,19,5,0.25,0.188,0.396,0.104,17.654,71,1
0,20,24,2,22,46,0.435,0.478,2,1,0.667,4,1,15,7,11,2,0.326,0.152,0.239,0.043,17.66,72,1
0,20,23,6,26,49,0.408,0.531,4,3,0.571,1,1,10,10,16,6,0.204,0.204,0.327,0.122,17.657,73,1
0,22,24,4,26,50,0.44,0.52,1,1,0.5,2,3,16,10,19,4,0.32,0.2,0.38,0.08,17.658,74,1
0,22,23,1,23,46,0.478,0.5,3,2,0.6,3,2,12,7,20,6,0.261,0.152,0.435,0.13,17.657,75,1
0,16,27,2,18,45,0.356,0.4,1,1,0.5,4,3,16,4,12,1,0.356,0.089,0.267,0.022,17.659,76,1
0,20,18,6,26,44,0.455,0.591,2,3,0.4,3,2,11,8,18,5,0.25,0.182,0.409,0.114,17.658,77,1
0,18,25,1,19,44,0.409,0.432,2,2,0.5,3,1,14,11,8,2,0.318,0.25,0.182,0.045,17.644,78,1
0,19,22,4,23,45,0.422,0.511,5,0,1,1,1,16,11,12,2,0.356,0.244,0.267,0.044,17.645,79,1
0,17,26,4,21,47,0.362,0.447,5,1,0.833,4,1,17,6,16,4,0.362,0.128,0.34,0.085,17.64,80,1
0,21,23,4,25,48,0.438,0.521,1,3,0.25,0,2,13,12,15,3,0.271,0.25,0.312,0.062,17.645,81,1
0,23,22,2,25,47,0.489,0.532,4,0,1,4,1,13,8,14,2,0.277,0.17,0.298,0.043,17.637,82,1
0,17,27,3,20,47,0.362,0.426,4,1,0.8,1,2,12,13,13,4,0.255,0.277,0.277,0.085,17.634,83,1
0,13,23,6,19,42,0.31,0.452,3,2,0.6,0,1,17,8,16,1,0.405,0.19,0.381,0.024,17.643,84,1
0,18,21,6,24,45,0.4,0.533,4,1,0.8,0,1,14,14,12,2,0.311,0.311,0.267,0.044,17.649,85,1
0,17,21,7,24,45,0.378,0.533,1,4,0.2,1,3,10,10,16,6,0.222,0.222,0.356,0.133,17.657,86,1
0,20,18,5,25,43,0.465,0.581,8,1,0.889,0,3,11,14,12,5,0.256,0.326,0.279,0.116,17.656,87,1
0,22,18,5,27,45,0.489,0.6,3,2,0.6,4,1,11,15,16,5,0.244,0.333,0.356,0.111,17.651,88,1
0,21,21,2,23,44,0.477,0.523,1,2,0.333,2,2,15,8,14,4,0.341,0.182,0.318,0.091,17.656,89,1
0,26,16,2,28,44,0.591,0.636,5,4,0.556,2,2,13,16,12,2,0.295,0.364,0.273,0.045,17.657,90,1
0,22,24,2,24,48,0.458,0.5,4,5,0.444,2,3,9,13,14,4,0.188,0.271,0.292,0.083,17.652,91,1
0,21,21,5,26,47,0.447,0.553,0,2,0,1,2,14,8,17,3,0.298,0.17,0.362,0.064,17.644,92,1
0,13,26,5,18,44,0.295,0.409,2,1,0.667,0,3,19,6,13,4,0.432,0.136,0.295,0.091,17.649,93,1
0,18,23,4,22,45,0.4,0.489,4,3,0.571,1,3,16,11,13,3,0.356,0.244,0.289,0.067,17.654,94,1
0,23,18,2,25,43,0.535,0.581,3,1,0.75,3,0,14,13,13,1,0.326,0.302,0.302,0.023,17.653,95,1
0,24,17,6,30,47,0.511,0.638,5,2,0.714,2,1,13,14,9,2,0.277,0.298,0.191,0.043,17.663,96,1
0,19,22,4,23,45,0.422,0.511,2,1,0.667,2,4,12,8,14,3,0.267,0.178,0.311,0.067,17.483,1,1
