shoe_index,player_win,player_loss,player_count,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method,shoe_outcome
967,21,19,2,3,43,0.488,24,0.5579999999999999,2,2,0.5,3,0,30,13,11,13,19,0.256,0.302,0.442,17.658,8,riffle_perfect,win
968,24,22,2,1,47,0.511,25,0.532,2,2,0.5,1,5,32,15,17,9,21,0.36200000000000004,0.191,0.447,17.730999999999998,9,riffle_perfect,win
978,22,20,2,2,44,0.5,24,0.545,4,2,0.667,3,1,30,14,11,8,25,0.25,0.182,0.568,17.535,19,riffle_perfect,win
987,25,17,8,3,45,0.556,28,0.622,4,0,1.0,2,2,23,22,17,12,16,0.37799999999999995,0.267,0.35600000000000004,17.589000000000002,28,riffle_perfect,win
1002,24,21,3,2,47,0.511,26,0.5529999999999999,2,2,0.5,2,4,32,15,11,14,22,0.23399999999999999,0.298,0.46799999999999997,17.654,43,riffle_perfect,win
1006,22,20,2,3,45,0.489,25,0.556,1,0,1.0,0,3,27,18,14,14,17,0.311,0.311,0.37799999999999995,17.658,47,riffle_perfect,win
1008,26,15,11,2,43,0.605,28,0.6509999999999999,1,0,1.0,4,2,28,15,17,9,17,0.395,0.209,0.395,17.624000000000002,49,riffle_perfect,win
1014,23,22,1,1,46,0.5,24,0.522,5,2,0.7140000000000001,2,3,30,16,10,15,21,0.217,0.326,0.457,17.636,55,riffle_perfect,win
1021,21,20,1,3,44,0.47700000000000004,24,0.545,4,1,0.8,0,1,31,13,10,10,24,0.22699999999999998,0.22699999999999998,0.545,17.634,62,riffle_perfect,win
1024,22,20,2,3,45,0.489,25,0.556,1,1,0.5,1,3,26,19,12,16,17,0.267,0.35600000000000004,0.37799999999999995,17.635,65,riffle_perfect,win
1046,26,22,4,3,51,0.51,29,0.569,2,1,0.667,3,0,28,23,6,22,23,0.11800000000000001,0.431,0.451,17.654,87,riffle_perfect,win
1050,21,20,1,1,42,0.5,22,0.524,1,3,0.25,0,0,27,15,13,12,17,0.31,0.28600000000000003,0.405,17.657,91,riffle_perfect,win
1064,24,19,5,2,45,0.5329999999999999,26,0.578,3,3,0.5,2,5,30,15,14,12,19,0.311,0.267,0.42200000000000004,17.654,9,riffle_perfect,win
1074,22,20,2,3,45,0.489,25,0.556,3,1,0.75,4,1,27,18,12,15,18,0.267,0.33299999999999996,0.4,17.625999999999998,19,riffle_perfect,win
1080,26,17,9,3,46,0.565,29,0.63,7,1,0.875,3,0,31,15,13,12,21,0.28300000000000003,0.261,0.457,17.604,25,riffle_perfect,win
1084,22,21,1,0,43,0.512,22,0.512,2,0,1.0,2,3,31,12,14,6,23,0.326,0.14,0.535,17.577,29,riffle_perfect,win
1104,23,21,2,3,47,0.489,26,0.5529999999999999,7,2,0.778,2,2,29,18,13,15,19,0.27699999999999997,0.319,0.40399999999999997,17.695,49,riffle_perfect,win
1105,22,21,1,3,46,0.478,25,0.5429999999999999,1,0,1.0,1,2,26,20,16,12,18,0.348,0.261,0.391,17.702,50,riffle_perfect,win
1115,24,19,5,3,46,0.522,27,0.5870000000000001,2,5,0.28600000000000003,3,0,26,20,11,17,18,0.239,0.37,0.391,17.699,60,riffle_perfect,win
1130,26,18,8,3,47,0.5529999999999999,29,0.617,7,2,0.778,3,3,23,24,13,17,17,0.27699999999999997,0.36200000000000004,0.36200000000000004,17.73,75,riffle_perfect,win
1146,22,18,4,3,43,0.512,25,0.581,1,0,1.0,3,1,26,17,14,16,13,0.326,0.37200000000000005,0.302,17.730999999999998,91,riffle_perfect,win
